resource,horizon,variant,n_feat,rmse,skill,naive,delta_vs_all,pruned_features
oil,7,PRUNED,30,3.2739844942904366,1.1101605999461661,2.949108889695057,0.09599154229965778,"[""ratio_own_steel"", ""own_mom_60"", ""own_mean_60"", ""own_lag_30"", ""cbe_days_since_change"", ""own_std_45"", ""own_range_30"", ""copper_lag_5"", ""copper_lag_7"", ""own_ret_lag_7"", ""own_macd_hist"", ""copper_ret_5"", ""own_std_5"", ""own_max_7"", ""own_mom_3"", ""relmom_own_steel_21"", ""own_ret_lag_14"", ""own_dist_mean_21"", ""own_z_5"", ""cement_vol_21"", ""natgas_vol_6m"", ""ratio_own_cement_z21"", ""aluminium_z_21"", ""own_mom_30"", ""own_std_30"", ""aluminium_lag_5"", ""oil_egp"", ""copper_z_7"", ""own_std_21"", ""own_rsi_14""]"
oil,14,ALL,229,3.6488746501326097,1.0553780470025922,3.4574100347225123,,
oil,14,minus_own_lags,196,3.63577437670595,1.0515890045415899,3.4574100347225123,-0.013100273426659648,
oil,14,minus_own_rolling,172,3.461690005975992,1.0012379125445048,3.4574100347225123,-0.18718464415661762,
oil,14,minus_own_momentum,200,3.6294428314756715,1.049757707366337,3.4574100347225123,-0.019431818656938216,
oil,14,minus_calendar,223,3.6209275912509122,1.0472948116903131,3.4574100347225123,-0.027947058881697462,
oil,14,minus_cross_resource,164,3.6905200304337864,1.0674233004966631,3.4574100347225123,0.041645380301176704,
oil,14,minus_fx,221,3.5914904486180106,1.0387805937244754,3.4574100347225123,-0.05738420151459911,
oil,14,minus_external_macro,198,3.7752716890695766,1.0919363486409779,3.4574100347225123,0.12639703893696685,
oil,14,PRUNED,30,3.5771719175452965,1.034639189919629,3.4574100347225123,-0.07170273258731319,"[""own_lag_21"", ""own_std_45"", ""cbe_days_since_change"", ""own_mean_3"", ""own_lag_2"", ""own_range_60"", ""own_dist_low_7"", ""aluminium_lag_3"", ""own_ret_lag_1"", ""own_max_14"", ""steel_vol_21"", ""own_range_30"", ""aluminium_ret_5"", ""relmom_own_aluminium_21"", ""ratio_own_steel"", ""own_ret_5"", ""own_vol_21"", ""own_max_7"", ""aluminium_lag_1"", ""own_vol_3"", ""own_std_21"", ""own_ret_lag_45"", ""own_std_30"", ""steel_ret_21"", ""own_z_21"", ""ratio_own_cement_z21"", ""dom"", ""own_rsi_7"", ""gap_roll_mean_5"", ""own_mom_30""]"
