resource,horizon,family,rmse,diracc,skill,naive,regime
copper,7,catboost,0.2737597598251218,0.531981201726488,1.168825299934587,0.23421785945294193,full
copper,14,ridge,0.3776880094631295,0.4039041342458368,1.1698360593057269,0.32285550309269784,full
copper,14,elasticnet,0.3789358385662258,0.40311559151403614,1.173701036334593,0.32285550309269784,full
copper,14,rf,0.3542579910512059,0.5277653057974756,1.0972648372342964,0.32285550309269784,full
copper,14,extratrees,0.31296552961499385,0.5862023113810051,0.9693671832043563,0.32285550309269784,full
copper,14,xgboost,0.36432963114844585,0.4983827854066172,1.1284603411075822,0.32285550309269784,full
copper,14,lightgbm,0.3035923896260586,0.5677686099639101,0.9403351862300193,0.32285550309269784,full
copper,14,catboost,0.302675382438507,0.5763127379312619,0.9374948840553083,0.32285550309269784,full
copper,21,ridge,0.47503326718659633,0.31020070881613016,1.3146253164944064,0.36134498645844204,full
copper,21,elasticnet,0.4823902737430956,0.30387461667003324,1.3349853791276411,0.36134498645844204,full
copper,21,rf,0.38459692594026484,0.4795454336782816,1.0643483107645026,0.36134498645844204,full
copper,21,extratrees,0.39557321641059195,0.5029245342864345,1.0947245187697836,0.36134498645844204,full
copper,21,xgboost,0.34921697774082405,0.5918348421690508,0.9664364826630497,0.36134498645844204,full
copper,21,lightgbm,0.3554984037965761,0.5442462735402578,0.9838199424899498,0.36134498645844204,full
copper,21,catboost,0.3383193439819795,0.6415747954599709,0.9362779522634647,0.36134498645844204,full
